title,calory_count,proteins,fats,carbohydrates
Абрикосовое масло,899,0.0,99.9,0.0
Абрикосовое пюре,38,0.9,0.1,9.0
Абрикосы,44,0.9,0.1,9.0
Курага,232,5.2,0.3,51.0
Урюк,242,5.0,0.4,53.0
Абрикос-ядро,519,25.0,45.4,2.8
Авокадо,28,1.2,0.1,6.0
Агар пищевой,301,4.0,0.0,76.0
Айва,48,0.6,0.5,9.6
Айвовый сок,51,0.5,0.1,11.2
Акула катран,143,19.9,7.0,0.0
Алыча,34,0.2,0.1,7.9
Альбула,88,17.5,2.0,0.0
Амур,88,17.5,2.0,0.0
Ананас,52,0.3,0.1,11.8
Анчоусы атлантические,135,20.1,6.1,0.0
Апельсин,43,0.9,0.2,8.1
Арахис,552,26.3,45.2,9.9
Арбуз,27,0.6,0.1,5.8
Аргентина,88,17.6,2.0,0.0
Арзни,0,0.0,0.0,0.0
Артишоки,28,1.2,0.1,6.0
Ацидофилин,40,3.0,1.0,4.0
Ацидофилин 3%,59,2.9,3.2,3.8
Ацидофилин сладкий 3%,77,2.8,3.2,8.6
Ацидофильная паста сублимационной сушки,75,3.0,5.0,4.8
Базилик свежий,23,3.2,0.6,1.1
Базилик сушеный,233,23,4.1,10.1
Баклажаны,24,1.2,0.1,4.5
Балык осетровый вяленый,88,17.5,2.0,0.0
Балык осетровый холодного копчения,194,20.4,12.5,0.0
Банан,96,1.5,0.5,21.0
Баранина,202,16.3,15.3,0.0
Баранина тушеная,191,17.4,13.4,0.2
Баранки простые,311,10.4,1.3,64.2
Баранки сдобные,348,8.3,8.0,60.4
Барбарис,29,0.0,0.0,7.9
Батат,59,2.0,0.0,13.8
Батон нарезной,262,7.5,2.9,51.4
Батончики на гидрожире,523,3.3,30.5,62.8
Баттерфиш,170,17.3,11.2,0.0
Белоглазка,88,17.5,2.0,0.0
Белоглазка аральская холодного копчения,88,17.5,2.0,0.0
Белорыбица,88,17.5,2.0,0.0
Белуга,88,17.5,2.0,0.0
Белуга бланшированная консервированная,88,17.5,2.0,0.0
Белый гриб,34,3.7,1.7,1.1
Белый гриб маринованный,24,3.0,0.5,2.0
Белый гриб сушеный,286,30.3,14.3,9.0
Бельдюга океаническая,88,17.5,2.0,0.0
Берикс,88,20.3,0.8,0.0
Бесуго,145,20.0,7.2,0.0
Бобы,56,6.0,0.1,8.5
Боковник белужий холодного копчения,88,17.5,2.0,0.0
Большеголов,88,17.5,2.0,0.0
Боржоми,0,0.0,0.0,0.0
Ботва свекольная,28,1.2,0.1,6.0
Боярышник,52,0.0,0.0,14.0
Бройлер,220,18.7,16.1,0.0
Брокколи,34,2.82,0.37,6.64
Брусника,46,0.7,0.5,8.2
Брынза коровья,262,22.1,19.2,0.4
Брынза овечья,260,21.1,18.8,0.3
Брюква,37,1.2,0.1,7.7
Бублики простые,276,9.1,1.1,57.1
Бублики,335,16.0,1.0,70.0
Буженина,510,15.0,50.0,0.0
Бузина,73,0.66,0.5,11.4
Буйволятина,194,19.0,13.2,0.0
Булка с молочной сывороткой,335,16.0,1.0,70.0
Булка черкизовская,335,16.0,1.0,70.0
Булка ярославская,294,7.6,5.3,53.7
Булки городские,265,7.7,2.4,52.9
Булочка калорийная,337,7.6,10.0,53.8
Булочки молочные,257,8.8,2.2,50.3
Булочки сдобные,339,7.9,9.4,55.5
Булочки столичные,269,8.4,2.2,53.7
Бычки в томатном соусе,88,17.5,2.0,0.0
Бычок-песочник,88,17.5,2.0,0.0
Ванилин,0,0.0,0.0,0.0
Варенье из айвы,273,0.4,0.2,70.6
Варенье из груши,273,0.3,0.2,70.8
Варенье из клубники,285,0.3,0.1,74.0
Варенье из малины,273,0.6,0.2,70.4
Варенье из мандаринов,294,0.7,0.2,75.9
Варенье из персиков,258,0.5,0.0,66.8
Варенье из рябины черноплодной,387,0.4,0.0,74.8
Варенье из сливы,288,0.4,0.3,74.2
Варенье из яблок,265,0.4,0.3,68.2
Вафли,342,3.2,2.8,81.1
Вафли с жировыми начинками,542,3.9,30.6,62.5
Вафли с фруктово-ягодными начинками,354,2.8,3.3,77.3
Верблюжатина,160,18.9,9.4,0.0
Ветчина в форме,278,22.6,20.9,0.0
Ветчина особая,126,17.6,6.2,0.0
Визига сухая,28,1.2,0.1,6.0
Вина десертные,172,0.5,0.0,20.0
Вина крепкие,163,0.4,0.0,12.0
Вина ликерные,212,0.5,0.0,30.0
Вина полудесертные,140,0.4,0.0,12.0
Вина полусладкие белые и красные,88,0.2,0.0,5.0
Вина полусухие белые и красные,78,0.3,0.0,2.5
Вина сладкие белые и красные,100,0.2,0.0,8.0
Вина сухие белые и красные,64,0.2,0.0,0.3
Винный уксус (3%),9,0.0,0.0,0.0
Виноград,72,0.6,0.6,15.4
Виноград маринованный,65,0.6,0.6,15.4
Виноград сушеный (кишмиш),281,2.3,0.5,65.8
Вишня,52,0.8,0.2,10.6
Вишня консервированная,44,0.8,0.2,10.6
Вишня маринованная,44,0.8,0.2,10.6
Вишня-ядро,422,21.9,30.5,16.0
Вобла,95,18.0,2.8,0.0
Вобла каспийская вяленая,88,17.5,2.0,0.0
Вобла холодного копчения,181,31.1,6.3,0.0
Вода,0,0.0,0.0,0.0
Водка,235,0.0,0.0,0.4
Водоросли,24,1.5,0.0,5.0
Водяника,0,0.0,0.0,0.0
Вымя говяжье,172,12.3,13.7,0.0
Галеты,393,9.7,10.2,65.6
Гвоздика,0,0.0,0.0,0.0
Гладкоголов,49,8.0,1.9,0.0
Глазурь жировая,547,3.9,37.2,48.9
Глазурь шоколадная,542,4.9,34.5,52.5
Глухарь,253,18.0,20.0,0.5
Говядина,218,18.6,16.0,0.0
Говядина тушеная,220,16.8,17.0,0.2
Голова баранья,87,15.0,3.0,0.0
Голова говяжья,184,18.1,12.5,0.0
Голова свиная,216,18.0,16.0,0.0
Голубика,39,1.0,0.5,6.6
Горбуша,140,20.5,6.5,0.0
Горбуша в томатном соусе,130,15.0,6.0,4.1
Горбуша натуральная,136,20.9,5.8,0.0
Горбуша соленая,169,22.1,9.0,0.0
Горох,298,20.5,2.0,49.5
Горох овощной (лопатка) свежий,302,23.0,1.2,53.3
Горошек зеленый,55,5.0,0.2,8.3
Горчица-семя,474,25.8,30.8,23.4
Горчица столовая,417,5.0,40.0,10.0
Горчичный порошок,378,37.1,11.1,32.6
Гранат,72,0.7,0.6,14.5
Грейпфрут,35,0.7,0.2,6.5
Гречиха,296,10.8,3.2,56.0
Гречневая крупа продел,300,9.5,2.3,60.4
Гречневая крупа ядрица,308,12.6,3.3,57.1
Гречневая мука,353,13.6,1.2,71.9
Грибы соленые,24,3.0,0.5,2.0
Грибы сушеные,24,3.0,0.5,2.0
